관리번호,급경사지명,소재지,비고(Note),region,경사도(Slope),곡률(Curvature),거칠기(Roughness),사면향(Aspect),aspect_sin,aspect_cos,S1_transfer,S1_used,Susceptibility,RiskScore,risk_grade5_by_region
95,고한2지구(지방도414),고한읍 고한리 산214임,추정값 (시뮬레이션),정선_v2(라벨없음),26.17,-0.95,98.3,46.76,0.7284905457796674,0.685055855175067,0.4466973032257916,0.38020340038434397,0.3041627203074752,30.416272,3
96,소두문동지구,고한읍 고한리 332-3도,추정값 (시뮬레이션),정선_v2(라벨없음),2.92,-0.62,103.88,305.41,-0.815026679676439,0.5794234301576,0.4017712848339046,0.3347916923090725,0.26783335384725804,26.783335,2
97,스키장입구,고한읍 고한리 124-123도,추정값 (시뮬레이션),정선_v2(라벨없음),4.83,-0.44,31.54,185.21,-0.09080639343373549,-0.9958685650785236,0.5946641118313553,0.535952221476578,0.4287617771812624,42.876178,4
98,강원 정선 사북 직전 N1지구,사북읍 직전리 산93임,추정값 (시뮬레이션),정선_v2(라벨없음),20.08,-0.42,116.57,359.36,-0.011169874929421739,0.9999376150010865,0.5119890801243502,0.44782964370884026,0.3582637149670722,35.826371,3
99,직전2지구,사북읍 직전리 374 전,추정값 (시뮬레이션),정선_v2(라벨없음),4.34,-0.86,32.21,128.66,0.7808667188358014,-0.6246976608044963,0.6464868528029358,0.59247719253687,0.47398175402949605,47.398175,4
100,사북4지구(국지도28),사북읍 사북리 73-19전,추정값 (시뮬레이션),정선_v2(라벨없음),14.62,-0.16,118.79,177.17,0.04937273674606871,-0.9987804227487659,0.2570595839221136,0.1959027625517599,0.15672221004140793,15.672221,2
101,사북3지구(국지도28),사북읍 사북리 87임,추정값 (시뮬레이션),정선_v2(라벨없음),26.65,-0.9,21.2,204.12,-0.4086490747363489,-0.9126915874035029,0.1321515812389942,0.0881630968116372,0.07053047744930976,7.053048,1
102,범바위지구,사북읍 사북리 240-1도,추정값 (시뮬레이션),정선_v2(라벨없음),22.72,-0.6,77.34,280.73,-0.9825154470411361,0.18618108476844883,0.0492749468675808,0.02698680044093515,0.021589440352748124,2.158944,1
103,강원 정선 사북 사북 N8지구,사북읍 사북리 239대,추정값 (시뮬레이션),정선_v2(라벨없음),11.88,-0.07,113.2,20.92,0.3570640764585566,0.9340798923554655,0.5416971194580851,0.47919009382430766,0.38335207505944613,38.335208,3
104,강원 정선 사북 사북 N3지구,사북읍 사북리 산155-38 임,추정값 (시뮬레이션),정선_v2(라벨없음),20.44,-0.16,133.7,155.43,0.4158046603058575,-0.9094539485141238,0.16444746925172862,0.11461267087004688,0.09169013669603751,9.169014,1
105,화절령지구,사북읍 사북리 412-2임,추정값 (시뮬레이션),정선_v2(라벨없음),31.35,-0.69,34.97,26.03,0.4388416941387634,0.8985643925091957,0.597974201069754,0.5395341474927037,0.431627317994163,43.162732,4
106,강원-태백선70-충,사북읍 사북리 산139-2철,추정값 (시뮬레이션),정선_v2(라벨없음),16.28,-0.1,84.74,184.74,-0.08263427275954256,-0.9965799400778151,0.5413698580340214,0.4788427167727905,0.3830741734182324,38.307417,3
107,태백 73km635(중),사북읍 사북리 산139-2철,추정값 (시뮬레이션),정선_v2(라벨없음),26.32,0.23,63.75,226.09,-0.7204300792568962,-0.693527577607338,0.4793150710315512,0.41375694978541605,0.33100555982833285,33.100556,3
108,태백 73km820(중),사북읍 사북리 산139-2철,추정값 (시뮬레이션),정선_v2(라벨없음),23.99,0.15,92.8,170.37,0.16728499014996862,-0.9859085820047033,0.6313416629139088,0.575860566044861,0.46068845283588883,46.068845,4
109,태백 74km285(좌),사북읍 사북리 산139-2철,추정값 (시뮬레이션),정선_v2(라벨없음),13.01,-0.67,11.21,235.12,-0.8203515424890738,-0.571859551582202,0.46998993753431484,0.4041162104278076,0.3232929683422461,32.329297,3
110,강원 정선 사북 사북 N1지구,사북읍 사북리 산 155-108 임,추정값 (시뮬레이션),정선_v2(라벨없음),29.94,-1.49,47.63,186.9,-0.12013683883464703,-0.9927573419294455,0.26973698662538687,0.2075528024525962,0.16604224196207695,16.604224,2
111,강원 정선 사북 사북 N2지구,사북읍 사북리 산 155-108 임,추정값 (시뮬레이션),정선_v2(라벨없음),17.95,0.46,137.56,252.81,-0.9553299583633393,-0.29554131801408123,0.05697236478392609,0.032121594522088195,0.02569727561767056,2.569728,1
112,강원 정선 사북 사북 N9지구,사북읍 사북리 402-5도,추정값 (시뮬레이션),정선_v2(라벨없음),24.34,0.7,60.37,187.3,-0.1270646086013504,-0.9918944425900297,0.5249752494345671,0.46149456878431744,0.369195655027454,36.919566,3
113,태백 77km240(중),사북읍 사북리 산155-2철,추정값 (시뮬레이션),정선_v2(라벨없음),35.67,-0.33,83.54,156.93,0.3918554454350783,-0.9200267984590864,0.6144269040913948,0.5573965403732595,0.4459172322986076,44.591723,4
114,강원 정선 사북 사북 N5지구,사북읍 사북리 452-36도,추정값 (시뮬레이션),정선_v2(라벨없음),16.25,1.02,128.49,79.31,0.9826451865148971,0.18549511427286447,0.3579336034805019,0.29144926688351064,0.23315941350680852,23.315941,2
